Crop,Varieties,RiceName,Attitude,Rainfall,Temperature,Soils,SoilPH,plantingInstructions1,plantingInstructions2,seedRatePerHectare,harvesting,yield,FertilizerApplication Method,Notes,
Rice,Low land rainfed,WABIS-675,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill ,50kg per hectare,120-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Low land rainfed,Jasmine-85,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,120-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Low land rainfed,TGR-78,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,120-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,NARIKA 1,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,NARIKA 4,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill ,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,NARIKA 10,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill ,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,NARIKA 11,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,TRG-94,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,Nam Roo,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,Deurado precoce,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
Rice,Rain-fed upland,WAB 181-18,0-1700m above sea level,800-2000mm annually,20-360C,Sandy loam to clay, PH ranging from 4.5-7.0,planting should be done at the onset of rains,23-35cm by drill,50kg per hectare,100-150 days,3 to 7 tons per hectare,Nursery: Apply 160kg SA/DAP per hectare Planting:100kg DAP per hectare during planting 90kg CAN per hectare during top-dressing basal application method,Flood the field 15 days after tillage before transplanting,
